warehouse_name,date,status,forecasted_stock,explanation
Bawana Main,2025-10-25,understock,974.6893978690871,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.97 < historical mean 1047.47)
Bawana Main,2025-10-26,understock,983.9449291639035,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.95 < historical mean 1047.47)
Bawana Main,2025-11-01,understock,973.517617092768,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.82 < historical mean 1047.47)
Bawana Main,2025-11-02,understock,973.9889677271461,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.79 < historical mean 1047.47)
Bawana Main,2025-11-08,understock,969.4646394284491,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.66 < historical mean 1047.47)
Bawana Main,2025-11-09,understock,968.8069775406443,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.64 < historical mean 1047.47)
Bawana Main,2025-11-15,understock,972.403421927351,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.51 < historical mean 1047.47)
Bawana Main,2025-11-16,understock,967.4743402567618,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.49 < historical mean 1047.47)
Bawana Main,2025-11-22,understock,969.7873701597917,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.36 < historical mean 1047.47)
Bawana Main,2025-11-23,understock,973.156570242465,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.34 < historical mean 1047.47)
Okhla Depot,2025-10-25,understock,674.0261894888839,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.23 < historical mean 746.13)
Okhla Depot,2025-10-26,understock,669.6820361926588,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.22 < historical mean 746.13)
Okhla Depot,2025-11-01,understock,667.5799936389297,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.16 < historical mean 746.13)
Okhla Depot,2025-11-02,understock,674.6779451834204,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.16 < historical mean 746.13)
Okhla Depot,2025-11-08,understock,669.4106588126307,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.10 < historical mean 746.13)
Okhla Depot,2025-11-09,understock,668.4265324239012,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.09 < historical mean 746.13)
Okhla Depot,2025-11-15,understock,669.633052163358,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.03 < historical mean 746.13)
Okhla Depot,2025-11-16,understock,663.6160710185993,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.02 < historical mean 746.13)
Okhla Depot,2025-11-22,understock,666.3150066127324,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (739.97 < historical mean 746.13)
Okhla Depot,2025-11-23,understock,671.8807957969858,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (739.96 < historical mean 746.13)
Narela Hub,2025-10-20,overstock,1396.390512105529,seasonal peak (weekly component: 33.00 > average 3.60) and Diwali effect (component: 5.28) and upward trend contribution (1358.11 > historical mean 1347.82)
Narela Hub,2025-10-23,overstock,1387.7333389494734,seasonal peak (weekly component: 26.78 > average 3.60) and Diwali effect (component: 2.78) and upward trend contribution (1358.17 > historical mean 1347.82)
Narela Hub,2025-10-24,overstock,1391.9351322690704,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1358.19 > historical mean 1347.82)
Narela Hub,2025-10-27,overstock,1399.657324297837,seasonal peak (weekly component: 33.00 > average 3.60) and Diwali effect (component: 8.40) and upward trend contribution (1358.25 > historical mean 1347.82)
Narela Hub,2025-10-30,overstock,1392.6885073101548,seasonal peak (weekly component: 26.78 > average 3.60) and Diwali effect (component: 7.59) and upward trend contribution (1358.31 > historical mean 1347.82)
Narela Hub,2025-10-31,overstock,1404.7235038963784,seasonal peak (weekly component: 34.83 > average 3.60) and Diwali effect (component: 11.56) and upward trend contribution (1358.33 > historical mean 1347.82)
Narela Hub,2025-11-03,overstock,1389.1127649547336,seasonal peak (weekly component: 33.00 > average 3.60) and upward trend contribution (1358.40 > historical mean 1347.82)
Narela Hub,2025-11-04,overstock,1382.9289206108253,seasonal peak (weekly component: 26.12 > average 3.60) and upward trend contribution (1358.42 > historical mean 1347.82)
Narela Hub,2025-11-07,overstock,1391.7248004908215,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1358.48 > historical mean 1347.82)
Narela Hub,2025-11-10,overstock,1395.1828783404246,seasonal peak (weekly component: 33.00 > average 3.60) and Diwali effect (component: 3.64) and upward trend contribution (1358.54 > historical mean 1347.82)
Narela Hub,2025-11-11,overstock,1399.2688099358006,seasonal peak (weekly component: 26.12 > average 3.60) and Diwali effect (component: 14.59) and upward trend contribution (1358.56 > historical mean 1347.82)
Narela Hub,2025-11-12,overstock,1385.6428674725553,seasonal peak (weekly component: 23.18 > average 3.60) and Diwali effect (component: 3.88) and upward trend contribution (1358.58 > historical mean 1347.82)
Narela Hub,2025-11-17,overstock,1389.8365220190315,seasonal peak (weekly component: 33.00 > average 3.60) and upward trend contribution (1358.68 > historical mean 1347.82)
Narela Hub,2025-11-18,overstock,1389.9762168477573,seasonal peak (weekly component: 26.12 > average 3.60) and Diwali effect (component: 5.16) and upward trend contribution (1358.70 > historical mean 1347.82)
Narela Hub,2025-11-19,overstock,1389.7178698301068,seasonal peak (weekly component: 23.18 > average 3.60) and Diwali effect (component: 7.81) and upward trend contribution (1358.72 > historical mean 1347.82)
Narela Hub,2025-11-20,overstock,1385.4527334646143,seasonal peak (weekly component: 26.78 > average 3.60) and upward trend contribution (1358.74 > historical mean 1347.82)
Narela Hub,2025-11-21,overstock,1388.0539242261611,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1358.76 > historical mean 1347.82)
Narela Hub,2025-11-24,overstock,1386.8551952079856,seasonal peak (weekly component: 33.00 > average 3.60) and upward trend contribution (1358.82 > historical mean 1347.82)
Narela Hub,2025-11-25,overstock,1384.610412021228,seasonal peak (weekly component: 26.12 > average 3.60) and upward trend contribution (1358.85 > historical mean 1347.82)
Narela Hub,2025-11-26,overstock,1391.555178409731,seasonal peak (weekly component: 23.18 > average 3.60) and Diwali effect (component: 9.50) and upward trend contribution (1358.87 > historical mean 1347.82)
Narela Hub,2025-11-27,overstock,1387.5462654524865,seasonal peak (weekly component: 26.78 > average 3.60) and Diwali effect (component: 1.88) and upward trend contribution (1358.89 > historical mean 1347.82)
Narela Hub,2025-11-28,overstock,1386.3684103197343,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1358.91 > historical mean 1347.82)
Narela Hub,2025-10-25,understock,1279.942142664728,seasonal trough (weekly component: -73.18 < average 3.60)
Narela Hub,2025-11-02,understock,1286.7305922278829,seasonal trough (weekly component: -70.74 < average 3.60)
Narela Hub,2025-11-08,understock,1285.7461087746065,seasonal trough (weekly component: -73.18 < average 3.60)
Narela Hub,2025-11-09,understock,1283.8198385355638,seasonal trough (weekly component: -70.74 < average 3.60)
Narela Hub,2025-11-15,understock,1282.2975610033445,seasonal trough (weekly component: -73.18 < average 3.60)
