warehouse_name,date,status,forecasted_stock,explanation
Bawana Main,2025-10-25,understock,975.1111678550961,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1037.39 < historical mean 1047.47)
Bawana Main,2025-10-26,understock,984.369379547865,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1037.37 < historical mean 1047.47)
Bawana Main,2025-11-01,understock,973.9533778583282,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1037.25 < historical mean 1047.47)
Bawana Main,2025-11-02,understock,974.4301173289026,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1037.23 < historical mean 1047.47)
Bawana Main,2025-11-08,understock,969.9076402291952,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1037.11 < historical mean 1047.47)
Bawana Main,2025-11-09,understock,969.2515642181888,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1037.08 < historical mean 1047.47)
Bawana Main,2025-11-15,understock,972.8507113752956,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.96 < historical mean 1047.47)
Bawana Main,2025-11-16,understock,967.9239413679944,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.94 < historical mean 1047.47)
Bawana Main,2025-11-22,understock,970.2398251237603,seasonal trough (weekly component: -67.17 < average 3.27) and downward trend contribution (1036.82 < historical mean 1047.47)
Bawana Main,2025-11-23,understock,973.6108571498928,seasonal trough (weekly component: -63.69 < average 3.27) and downward trend contribution (1036.80 < historical mean 1047.47)
Okhla Depot,2025-10-25,understock,674.0524381468788,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.25 < historical mean 746.13)
Okhla Depot,2025-10-26,understock,669.707313475517,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.24 < historical mean 746.13)
Okhla Depot,2025-11-01,understock,667.6021417202525,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.19 < historical mean 746.13)
Okhla Depot,2025-11-02,understock,674.6976267946288,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.18 < historical mean 746.13)
Okhla Depot,2025-11-08,understock,669.433990463276,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.12 < historical mean 746.13)
Okhla Depot,2025-11-09,understock,668.4488716510614,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.11 < historical mean 746.13)
Okhla Depot,2025-11-15,understock,669.658364138827,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (740.06 < historical mean 746.13)
Okhla Depot,2025-11-16,understock,663.6399337528758,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (740.05 < historical mean 746.13)
Okhla Depot,2025-11-22,understock,666.3418150134712,seasonal trough (weekly component: -72.02 < average 3.54) and downward trend contribution (739.99 < historical mean 746.13)
Okhla Depot,2025-11-23,understock,671.9065095584805,seasonal trough (weekly component: -69.59 < average 3.54) and downward trend contribution (739.98 < historical mean 746.13)
Narela Hub,2025-10-20,overstock,1397.1338515213245,seasonal peak (weekly component: 33.00 > average 3.60) and Diwali effect (component: 5.27) and upward trend contribution (1358.86 > historical mean 1347.82)
Narela Hub,2025-10-23,overstock,1388.4865547293073,seasonal peak (weekly component: 26.78 > average 3.60) and Diwali effect (component: 2.78) and upward trend contribution (1358.92 > historical mean 1347.82)
Narela Hub,2025-10-24,overstock,1392.686315032842,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1358.94 > historical mean 1347.82)
Narela Hub,2025-10-27,overstock,1400.4104798836127,seasonal peak (weekly component: 33.00 > average 3.60) and Diwali effect (component: 8.40) and upward trend contribution (1359.01 > historical mean 1347.82)
Narela Hub,2025-10-30,overstock,1393.4510549604224,seasonal peak (weekly component: 26.78 > average 3.60) and Diwali effect (component: 7.59) and upward trend contribution (1359.08 > historical mean 1347.82)
Narela Hub,2025-10-31,overstock,1405.485317929976,seasonal peak (weekly component: 34.83 > average 3.60) and Diwali effect (component: 11.55) and upward trend contribution (1359.10 > historical mean 1347.82)
Narela Hub,2025-11-03,overstock,1389.8850439532223,seasonal peak (weekly component: 33.00 > average 3.60) and upward trend contribution (1359.17 > historical mean 1347.82)
Narela Hub,2025-11-04,overstock,1383.7033241046213,seasonal peak (weekly component: 26.12 > average 3.60) and upward trend contribution (1359.19 > historical mean 1347.82)
Narela Hub,2025-11-07,overstock,1392.5102991950723,seasonal peak (weekly component: 34.83 > average 3.60) and upward trend contribution (1359.26 > historical mean 1347.82)
