warehouse_id,warehouse_name,x_length_m,y_length_m,z_height_m,date,time,stock,loaded_unloaded
WH003,South Central Storage,40,37,12,2023-01-01,00:00:00,24,loaded
WH002,East Zone Hub,52,40,18,2023-01-01,01:00:00,516,unloaded
WH001,North Zone Depot,37,53,10,2023-01-01,02:00:00,1173,unloaded
WH001,North Zone Depot,53,41,13,2023-01-01,03:00:00,819,unloaded
WH001,North Zone Depot,55,51,19,2023-01-01,04:00:00,509,loaded
WH001,North Zone Depot,56,39,19,2023-01-01,05:00:00,524,unloaded
WH003,South Central Storage,59,44,10,2023-01-01,06:00:00,239,unloaded
WH003,South Central Storage,54,32,12,2023-01-01,07:00:00,881,loaded
WH003,South Central Storage,38,36,9,2023-01-01,08:00:00,70,unloaded
WH001,North Zone Depot,43,47,17,2023-01-01,09:00:00,365,loaded
WH002,East Zone Hub,31,49,19,2023-01-01,10:00:00,614,loaded
WH003,South Central Storage,37,44,10,2023-01-01,11:00:00,558,unloaded
WH001,North Zone Depot,59,35,13,2023-01-01,12:00:00,1075,unloaded
WH002,East Zone Hub,47,55,19,2023-01-01,13:00:00,752,unloaded
WH002,East Zone Hub,43,45,15,2023-01-01,14:00:00,1045,unloaded
WH003,South Central Storage,59,37,12,2023-01-01,15:00:00,1066,unloaded
WH001,North Zone Depot,44,50,15,2023-01-01,16:00:00,387,unloaded
WH001,North Zone Depot,57,57,16,2023-01-01,17:00:00,813,loaded
WH003,South Central Storage,54,36,16,2023-01-01,18:00:00,114,unloaded
WH001,North Zone Depot,53,40,10,2023-01-01,19:00:00,697,loaded
WH003,South Central Storage,30,56,12,2023-01-01,20:00:00,468,unloaded
WH003,South Central Storage,38,57,14,2023-01-01,21:00:00,1067,loaded
WH002,East Zone Hub,45,52,14,2023-01-01,22:00:00,1106,unloaded
WH001,North Zone Depot,41,37,13,2023-01-01,23:00:00,148,loaded
WH003,South Central Storage,32,34,10,2023-01-02,00:00:00,1010,loaded
WH001,North Zone Depot,43,36,18,2023-01-02,01:00:00,552,loaded
WH003,South Central Storage,55,39,19,2023-01-02,02:00:00,1088,loaded
WH003,South Central Storage,36,46,11,2023-01-02,03:00:00,913,loaded
WH002,East Zone Hub,52,36,18,2023-01-02,04:00:00,534,loaded
WH001,North Zone Depot,57,31,17,2023-01-02,05:00:00,1159,loaded
